order,ncr_id,source_dataset,map_status,combined_into,entity_name,rendered_shortest,current_shortest,current_short,current_normal,tier,shortest_type,shortest_source,shortest_source_url,acronym,acronym_source,area_aliases,parent_org,region,roles,org_type,weight,issues,collision_ids,nearby_collision_ids
"370","NCR11729","geocoded","combined_member","NCR11061","NAES Corporation - Empire",,"Empire","NAES Empire","Empire Generating Station","normal",,,,"Empire","name_initialism","[]",,"NPCC","[""GOP""]","merchant","2","[""duplicate_label"",""nearby_label_collision""]","[""NCR01155"",""NCR11061""]","[""NCR11061""]"
"371","NCR01283","geocoded","combined_member","NCR01255","NAES Corporation - Holland",,"Holland","NAES Holland","Holland Energy Facility","normal",,,,"NAES-Holland","name_initialism","[]",,"SERC","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR01255""]","[""NCR01255""]"
"372","NCR12367","geocoded","combined_member","NCR11493","NAES Corporation - Major Oak Power, LLC",,"Major Oak","NAES Major Oak Power","Major Oak Power","normal",,,,"NAES-Major Oak","name_initialism","[]",,"Texas RE","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR11493""]","[""NCR11493""]"
"373","NCR11589","geocoded","combined_member","NCR05320","NAES Corporation - Plains End",,"Plains End","NAES Plains End","Plains End Power","normal",,,,"NAES Plains End","name_initialism","[]",,"WECC","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR05320""]","[""NCR05320""]"
"374","NCR13061","geocoded","combined_member","NCR11367","NAES Corporation - South Boston Energy",,"S. Boston","NAES South Boston Energy","South Boston Energy","normal",,,,"South Boston Energy","eia_861","[]",,"SERC","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR11367""]","[""NCR11367""]"
"375","NCR00849","geocoded","combined_member","NCR00953","NAES Corporation - Wolf Hills",,"Wolf Hills","NAES Wolf Hills","Wolf Hills Energy","normal",,,,"NAES Wolf Hills","name_initialism","[]",,"RF","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR00953""]","[""NCR00953""]"
"376","NCR12402","geocoded","combined_member","NCR11859","NAES Corporation Heritage Hunterstown",,"Hunterstown","Heritage Hunterstown","Heritage Hunterstown","normal",,,,"Hunterstown","common_market_name","[]",,"RF","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR11859""]","[""NCR11859""]"
"377","NCR12134","geocoded","combined_member","NCR12133","NAES Corporation-Hill Top Energy",,"Hill Top","NAES Hill Top Energy","Hill Top Energy","normal",,,,"Hill Top","common_market_name","[]",,"RF","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR12133""]","[""NCR12133""]"
"378","NCR11127","geocoded","combined_member","NCR11126","NAES Corporation-Kleen Energy Systems, LLC.",,"Kleen","NAES Kleen Energy","Kleen Energy Systems","normal",,,,"Kleen","common_market_name","[]",,"NPCC","[""GOP""]","merchant","2","[""duplicate_label"",""nearby_label_collision""]","[""NCR11126""]","[""NCR11126""]"
"379","NCR11181","geocoded","combined_member","NCR11182","NAES Corporation-Sandy Creek Energy Station",,"Sandy Creek","NAES Sandy Creek","Sandy Creek Energy Station","normal",,,,"NAES-Sandy Creek","name_initialism","[]",,"Texas RE","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR11182""]","[""NCR11182""]"
"380","NCR12273","geocoded","combined_member","NCR11346","NRG Energy Services LLC-Petra Nova",,"NRG","NRG Petra Nova","NRG Energy Services Petra Nova","major",,,,"NRG Petra Nova","name_initialism","[]",,"Texas RE","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR05141"",""NCR10090"",""NCR10326"",""NCR11148"",""NCR11150"",""NCR11584"",""NCR11642"",""NCR11715"",""NCR11730"",""NCR11854"",""NCR12371""]","[""NCR10090"",""NCR10326""]"
"381","NCR12507","geocoded","combined_member","NCR13464","QE Solar, LLC",,"QE Solar","QE Solar","QE Solar","normal",,,,"QE Solar","official_website","[]",,"NPCC","[""GOP""]","other","2","[""duplicate_label"",""nearby_label_collision""]","[""NCR13464""]","[""NCR13464""]"
"382","NCR12156","geocoded","combined_member","NCR13538","RES America Asset Management - Chisholm",,"RES","RES Chisholm","RES America Asset Management Chisholm","major",,,,"Chisholm","common_market_name","[]",,"Texas RE","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR12469"",""NCR12497"",""NCR13127"",""NCR13538""]","[""NCR13538""]"
"383","NCR11383","geocoded","combined_member","NCR13518","RWE Clean Energy QSE, LLC",,"RWE","RWE Clean Energy QSE","RWE Clean Energy QSE","major",,,,"RWE DCE","official_website","[]",,"Texas RE","[""GOP""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR11605"",""NCR12482"",""NCR13518""]","[""NCR13518""]"
"384","NCR01322","geocoded","combined_member","NCR11695","Southern Power Company",,"Southern Power","Southern Power Company","Southern Power Company","normal",,,,"Southern Power","official_website","[]","The Southern Company","NPCC","[""GO""]","other","2","[""length_13_to_15"",""duplicate_label"",""nearby_label_collision""]","[""NCR11221"",""NCR11396"",""NCR12021""]","[""NCR11396"",""NCR12021""]"
"385","NCR12021","geocoded","combined_member","NCR11695","Southern Power Company",,"Southern Power","Southern Power","Southern Power Company","normal",,,,"Southern Power","eia_861","[]",,"RF","[""GO""]",,"2","[""length_13_to_15"",""duplicate_label"",""nearby_label_collision""]","[""NCR01322"",""NCR11221"",""NCR11396""]","[""NCR01322"",""NCR11396""]"
"386","NCR13147","geocoded","combined_member","NCR12438","St. Gall Energy Storage II LLC",,"St Gall","St. Gall Energy Storage II","St. Gall Energy Storage II","normal",,,,"St Gall II","name_initialism","[]",,"Texas RE","[""GO""]",,"2","[""duplicate_label"",""nearby_label_collision""]","[""NCR12438""]","[""NCR12438""]"
"387","NCR-SEED-004","geocoded","retired_seed",,"Southwest Power Pool, Inc.",,"SPP","Southwest Power Pool","Southwest Power Pool, Inc.","major",,,,"SPP","common_market_name","[]",,"MRO","[""RC"",""BA"",""TOP"",""TP"",""PC"",""TSP"",""RP"",""RSG""]","ISO_RTO","45","[""duplicate_label"",""nearby_label_collision""]","[""NCR01143""]","[""NCR01143""]"
"388","NCR-SEED-002","geocoded","retired_seed",,"Midcontinent Independent System Operator, Inc.",,"MISO","Midcontinent ISO","Midcontinent Independent System Operator, Inc.","major",,,,"MISO","common_market_name","[]",,"RF","[""RC"",""BA"",""TOP"",""TP"",""PC"",""TSP"",""RP""]","ISO_RTO","42","[""duplicate_label"",""nearby_label_collision""]","[""NCR00826""]","[""NCR00826""]"
"389","NCR-SEED-001","geocoded","retired_seed",,"PJM Interconnection, LLC",,"PJM","PJM","PJM Interconnection","major",,,,"PJM","common_market_name","[]",,"RF","[""RC"",""BA"",""TOP"",""TP"",""PC"",""TSP"",""RP""]","ISO_RTO","42","[""duplicate_label"",""nearby_label_collision""]","[""NCR00879""]","[""NCR00879""]"
"390","NCR-SEED-020","geocoded","retired_seed",,"Duke Energy Carolinas, LLC",,"DEC","Duke Energy Carolinas","Duke Energy Carolinas, LLC","major",,,,"DEC","common_market_name","[]",,"SERC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP"",""PC"",""RP""]","IOU","41","[""duplicate_label"",""nearby_label_collision""]","[""NCR01219""]","[""NCR01219""]"
"391","NCR-SEED-027","geocoded","retired_seed",,"Florida Power & Light Company",,"FPL","Florida Power & Light","Florida Power & Light Company","major",,,,"FPL","common_market_name","[]",,"SERC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP"",""PC"",""RP""]","IOU","41","[""duplicate_label"",""nearby_label_collision""]","[""NCR00024""]","[""NCR00024""]"
"392","NCR-SEED-003","geocoded","retired_seed",,"California Independent System Operator",,"CAISO","California ISO","California Independent System Operator","major",,,,"CAISO","common_market_name","[]",,"WECC","[""RC"",""BA"",""TOP"",""TP"",""PC"",""TSP""]","ISO_RTO","40","[""duplicate_label"",""nearby_label_collision""]","[""NCR05048""]","[""NCR05048""]"
"393","NCR-SEED-007","geocoded","retired_seed",,"Electric Reliability Council of Texas, Inc.",,"ERCOT","Electric Reliability Council of Texas","Electric Reliability Council of Texas, Inc.","major",,,,"ERCOT","common_market_name","[]",,"Texas RE","[""RC"",""BA"",""TOP"",""TP"",""PC"",""TSP""]","ISO_RTO","40","[""duplicate_label"",""nearby_label_collision""]","[""NCR04056""]","[""NCR04056""]"
"394","NCR-SEED-005","geocoded","retired_seed",,"ISO New England Inc.",,"ISO-NE","ISO New England","ISO New England Inc.","major",,,,"ISO-NE","common_market_name","[]",,"NPCC","[""RC"",""BA"",""TOP"",""TP"",""PC"",""TSP""]","ISO_RTO","40","[""duplicate_label"",""nearby_label_collision""]","[""NCR07124""]","[""NCR07124""]"
"395","NCR-SEED-006","geocoded","retired_seed",,"New York Independent System Operator",,"NYISO","New York ISO","New York Independent System Operator","major",,,,"NYISO","common_market_name","[]",,"NPCC","[""RC"",""BA"",""TOP"",""TP"",""PC"",""TSP""]","ISO_RTO","40","[""duplicate_label"",""nearby_label_collision""]","[""NCR07160""]","[""NCR07160""]"
"396","NCR-SEED-025","geocoded","retired_seed",,"Tennessee Valley Authority",,"TVA","Tennessee Valley Authority","Tennessee Valley Authority","major",,,,"TVA","common_market_name","[]",,"SERC","[""BA"",""TO"",""TOP"",""GO"",""GOP"",""TSP"",""TP"",""PC"",""RP""]","federal","38","[""duplicate_label"",""nearby_label_collision""]","[""NCR01151""]","[""NCR01151""]"
"397","NCR-SEED-054","geocoded","retired_seed",,"Bonneville Power Administration",,"BPA","Bonneville Power Administration","Bonneville Power Administration","major",,,,"BPA","common_market_name","[]",,"WECC","[""BA"",""TO"",""TOP"",""DP"",""GOP"",""TSP"",""TP"",""PC"",""RP""]","federal","37","[""duplicate_label"",""nearby_label_collision""]","[""NCR05032""]","[""NCR05032""]"
"398","NCR-SEED-015","geocoded","retired_seed",,"PacifiCorp",,"PacifiCorp","PacifiCorp","PacifiCorp","major",,,,"PacifiCorp","common_market_name","[]",,"WECC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP"",""RP""]","IOU","34","[""duplicate_label"",""nearby_label_collision""]","[""NCR05304""]","[""NCR05304""]"
"399","NCR-SEED-034","geocoded","retired_seed",,"DTE Electric Company",,"DTE","DTE Electric","DTE Electric Company","major",,,,"DTE","common_market_name","[]",,"RF","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","32","[""duplicate_label"",""nearby_label_collision""]","[""NCR00753"",""NCR12192""]","[""NCR00753"",""NCR12192""]"
"400","NCR-SEED-028","geocoded","retired_seed",,"Duke Energy Florida, LLC",,"Duke","Duke Energy Florida","Duke Energy Florida, LLC","major",,,,"Duke","common_market_name","[]",,"SERC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","32","[""duplicate_label"",""nearby_label_collision""]","[""NCR00063"",""NCR00761""]","[""NCR00063""]"
"401","NCR-SEED-021","geocoded","retired_seed",,"Duke Energy Progress, LLC",,"DEP","Duke Energy Progress","Duke Energy Progress, LLC","major",,,,"DEP","common_market_name","[]",,"SERC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","32","[""duplicate_label"",""nearby_label_collision""]","[""NCR01298""]","[""NCR01298""]"
"402","NCR-SEED-014","geocoded","retired_seed",,"Idaho Power Company",,"Idaho","Idaho Power","Idaho Power Company","major",,,,"Idaho","common_market_name","[]",,"WECC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","32","[""duplicate_label"",""nearby_label_collision""]","[""NCR05191""]","[""NCR05191""]"
"403","NCR-SEED-018","geocoded","retired_seed",,"Public Service Company of New Mexico",,"PNM","Public Service of New Mexico","Public Service Company of New Mexico","major",,,,"PNM","common_market_name","[]",,"WECC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","32","[""duplicate_label"",""nearby_label_collision""]","[""NCR05333""]","[""NCR05333""]"
"404","NCR-SEED-016","geocoded","retired_seed",,"Puget Sound Energy, Inc.",,"PSE","Puget Sound Energy","Puget Sound Energy, Inc.","major",,,,"PSE","common_market_name","[]",,"WECC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","32","[""duplicate_label"",""nearby_label_collision""]","[""NCR05344""]","[""NCR05344""]"
"405","NCR-SEED-046","geocoded","retired_seed",,"Southwestern Public Service Company",,"SPS","Southwestern Public Service","Southwestern Public Service Company","normal",,,,"SPS","common_market_name","[]",,"MRO","[""BA"",""TO"",""TOP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","31","[""duplicate_label"",""nearby_label_collision""]","[""NCR01145""]","[""NCR01145""]"
"406","NCR-SEED-030","geocoded","retired_seed",,"JEA",,"JEA","JEA","JEA","major",,,,"JEA","common_market_name","[]",,"SERC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP""]","municipal","28","[""duplicate_label"",""nearby_label_collision""]","[""NCR00040""]","[""NCR00040""]"
"407","NCR-SEED-045","geocoded","retired_seed",,"Omaha Public Power District",,"OPPD","Omaha Public Power District","Omaha Public Power District","major",,,,"OPPD","common_market_name","[]",,"MRO","[""BA"",""GO"",""GOP"",""TO"",""TOP"",""DP"",""LSE"",""TSP""]","municipal","28","[""duplicate_label"",""nearby_label_collision""]","[""NCR00860""]","[""NCR00860""]"
"408","NCR-SEED-029","geocoded","retired_seed",,"Tampa Electric Company",,"TECO","Tampa Electric","Tampa Electric Company","major",,,,"TECO","common_market_name","[]",,"SERC","[""BA"",""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP""]","IOU","28","[""duplicate_label"",""nearby_label_collision""]","[""NCR00074""]","[""NCR00074""]"
"409","NCR-SEED-049","geocoded","retired_seed",,"Nebraska Public Power District",,"NPPD","Nebraska Public Power District","Nebraska Public Power District","major",,,,"NPPD","common_market_name","[]",,"MRO","[""BA"",""GO"",""GOP"",""TO"",""TOP"",""TSP"",""LSE""]","municipal","27","[""duplicate_label"",""nearby_label_collision""]","[""NCR01018""]","[""NCR01018""]"
"410","NCR-SEED-026","geocoded","retired_seed",,"Associated Electric Cooperative, Inc.",,"AECI","Associated Electric Cooperative","Associated Electric Cooperative, Inc.","major",,,,"AECI","common_market_name","[]",,"SERC","[""BA"",""GO"",""GOP"",""TO"",""TOP"",""TSP""]","cooperative","25","[""duplicate_label"",""nearby_label_collision""]","[""NCR01177""]","[""NCR01177""]"
"411","NCR-SEED-059","geocoded","retired_seed",,"Sunflower Electric Power Corporation",,"Sunflower","Sunflower Electric","Sunflower Electric Power Corporation","major",,,,"Sunflower","official_website","[]",,"MRO","[""BA"",""GO"",""GOP"",""TO"",""TOP"",""TSP""]","cooperative","25","[""duplicate_label"",""nearby_label_collision""]","[""NCR01148"",""NCR11702"",""NCR12266"",""NCR12352""]","[""NCR01148""]"
"412","NCR-SEED-011","geocoded","retired_seed",,"Arizona Public Service Company",,"APS","Arizona Public Service","Arizona Public Service Company","major",,,,"APS","common_market_name","[]",,"WECC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR05016""]","[""NCR05016""]"
"413","NCR-SEED-035","geocoded","retired_seed",,"Consumers Energy Company",,"Consumers","Consumers","Consumers Energy Company","major",,,,"CE","common_market_name","[]",,"RF","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR00740""]","[""NCR00740""]"
"414","NCR-SEED-042","geocoded","retired_seed",,"Northern States Power Company - Minnesota",,"NSP","Northern States Power","Northern States Power Company - Minnesota","major",,,,"NSP","common_market_name","[]",,"MRO","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR01020""]","[""NCR01020""]"
"415","NCR-SEED-008","geocoded","retired_seed",,"Pacific Gas and Electric Company",,"PG&E","Pacific Gas and Electric","Pacific Gas and Electric Company","major",,,,"PG&E","common_market_name","[]",,"WECC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR05299""]","[""NCR05299""]"
"416","NCR-SEED-017","geocoded","retired_seed",,"Portland General Electric Company",,"PGE","Portland General Electric","Portland General Electric Company","major",,,,"PGE","common_market_name","[]",,"WECC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR05325""]","[""NCR05325""]"
"417","NCR-SEED-012","geocoded","retired_seed",,"Public Service Company of Colorado",,"PSCo","Public Service of Colorado","Public Service Company of Colorado","major",,,,"PSCo","common_market_name","[]",,"WECC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR05521""]","[""NCR05521""]"
"418","NCR-SEED-010","geocoded","retired_seed",,"San Diego Gas & Electric Company",,"SDG&E","San Diego Gas & Electric","San Diego Gas & Electric Company","major",,,,"SDG&E","common_market_name","[]",,"WECC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR05377""]","[""NCR05377""]"
"419","NCR-SEED-031","geocoded","retired_seed",,"Virginia Electric and Power Company",,"Dominion","Dominion Energy Virginia","Virginia Electric and Power Company","major",,,,"Dominion","common_market_name","[]",,"RF","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR01214"",""NCR09006"",""NCR09028"",""NCR11878"",""NCR12287""]","[""NCR01214"",""NCR09006"",""NCR09028"",""NCR11878"",""NCR12287""]"
"420","NCR-SEED-036","geocoded","retired_seed",,"American Electric Power Service Corporation",,"AEP","American Electric Power","American Electric Power Service Corporation","major",,,,"AEP","common_market_name","[]",,"RF","[""TOP"",""TP"",""TSP"",""PC"",""RP""]","IOU","24","[""duplicate_label"",""nearby_label_collision""]","[""NCR00682"",""NCR04006"",""NCR11401"",""NCR12527"",""NCR13230""]","[""NCR00682"",""NCR04006"",""NCR11401"",""NCR12527"",""NCR13230""]"
"421","NCR-SEED-009","geocoded","retired_seed",,"Southern California Edison Company",,"SCE","Southern California Edison","Southern California Edison Company","major",,,,"SCE","common_market_name","[]",,"WECC","[""TO"",""TOP"",""DP"",""GOP"",""LSE"",""TSP"",""TP""]","IOU","22","[""duplicate_label"",""nearby_label_collision""]","[""NCR05398""]","[""NCR05398""]"
"422","NCR-SEED-056","geocoded","retired_seed",,"Tri-State Generation and Transmission Association, Inc.",,"Tri-State","Tri-State G&T","Tri-State Generation and Transmission Association, Inc.","major",,,,"Tri-State","common_market_name","[]",,"WECC","[""GO"",""GOP"",""TO"",""TOP"",""TSP"",""TP"",""PSE""]","cooperative","22","[""duplicate_label"",""nearby_label_collision""]","[""NCR10030"",""NCR10102""]","[""NCR10030"",""NCR10102""]"
"423","NCR-SEED-052","geocoded","retired_seed",,"Lower Colorado River Authority",,"LCRA","Lower Colorado River Authority","Lower Colorado River Authority","major",,,,"LCRA","common_market_name","[]",,"Texas RE","[""GO"",""GOP"",""TO"",""TOP"",""TSP"",""TP""]","other","21","[""duplicate_label"",""nearby_label_collision""]","[""NCR04091"",""NCR04092"",""NCR04093""]","[""NCR04091"",""NCR04092"",""NCR04093""]"
"424","NCR-SEED-041","geocoded","retired_seed",,"New York Power Authority",,"NYPA","New York Power Authority","New York Power Authority","major",,,,"NYPA","common_market_name","[]",,"NPCC","[""GO"",""GOP"",""TO"",""TOP"",""TSP"",""TP""]","municipal","21","[""duplicate_label"",""nearby_label_collision""]","[""NCR07161""]","[""NCR07161""]"
"425","NCR-SEED-023","geocoded","retired_seed",,"Alabama Power Company",,"Alabama","Alabama Power","Alabama Power Company","major",,,,"Alabama","common_market_name","[]",,"SERC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP""]","IOU","20","[""duplicate_label"",""nearby_label_collision""]","[""NCR01166""]","[""NCR01166""]"
"426","NCR-SEED-019","geocoded","retired_seed",,"El Paso Electric Company",,"EPE","El Paso Electric","El Paso Electric Company","major",,,,"EPE","common_market_name","[]",,"WECC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP""]","IOU","20","[""duplicate_label"",""nearby_label_collision""]","[""NCR05140""]","[""NCR05140""]"
"427","NCR-SEED-022","geocoded","retired_seed",,"Georgia Power Company",,"Georgia","Georgia Power","Georgia Power Company","major",,,,"Georgia","common_market_name","[]",,"SERC","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP""]","IOU","20","[""duplicate_label"",""nearby_label_collision""]","[""NCR01247""]","[""NCR01247""]"
"428","NCR-SEED-047","geocoded","retired_seed",,"Oklahoma Gas and Electric Company",,"OG&E","Oklahoma Gas & Electric","Oklahoma Gas and Electric Company","major",,,,"OG&E","common_market_name","[]",,"MRO","[""TO"",""TOP"",""DP"",""GO"",""GOP"",""LSE"",""TSP""]","IOU","20","[""duplicate_label"",""nearby_label_collision""]","[""NCR01130""]","[""NCR01130""]"
"429","NCR-SEED-044","geocoded","retired_seed",,"Great River Energy",,"GRE","Great River Energy","Great River Energy","major",,,,"GRE","common_market_name","[]",,"MRO","[""GO"",""GOP"",""TO"",""TOP"",""TSP"",""LSE""]","cooperative","19","[""duplicate_label"",""nearby_label_collision""]","[""NCR00992""]","[""NCR00992""]"
"430","NCR-SEED-043","geocoded","retired_seed",,"Basin Electric Power Cooperative",,"Basin","Basin Electric","Basin Electric Power Cooperative","major",,,,"Basin","common_market_name","[]",,"MRO","[""GO"",""GOP"",""TO"",""TOP"",""TSP""]","cooperative","17","[""duplicate_label"",""nearby_label_collision""]","[""NCR00102"",""NCR05023""]","[""NCR00102"",""NCR05023""]"
"431","NCR-SEED-060","geocoded","retired_seed",,"Deseret Generation & Transmission Co-operative",,"Deseret","Deseret G&T","Deseret Generation & Transmission","major",,,,"Deseret Power","official_website","[]",,"WECC","[""GO"",""GOP"",""TO"",""TOP"",""TSP""]","cooperative","17","[""duplicate_label"",""nearby_label_collision""]","[""NCR05126""]","[""NCR05126""]"
"432","NCR-SEED-051","geocoded","retired_seed",,"CPS Energy",,"CPS","CPS Energy","CPS Energy","major",,,,"CPS","common_market_name","[]",,"Texas RE","[""GO"",""GOP"",""TO"",""TOP"",""DP"",""LSE""]","municipal","15","[""duplicate_label"",""nearby_label_collision""]","[""NCR04037"",""SUP-cps-energy""]","[""NCR04037"",""SUP-cps-energy""]"
"433","NCR-SEED-050","geocoded","retired_seed",,"Oncor Electric Delivery Company LLC",,"Oncor","Oncor Electric Delivery","Oncor Electric Delivery","major",,,,"Oncor","common_market_name","[]",,"Texas RE","[""TO"",""TOP"",""DP"",""TSP""]","IOU","14","[""duplicate_label"",""nearby_label_collision""]","[""NCR04109""]","[""NCR04109""]"
"434","NCR-SEED-033","geocoded","retired_seed",,"Commonwealth Edison Company",,"ComEd","Commonwealth Edison","Commonwealth Edison Company","major",,,,"ComEd","common_market_name","[]",,"RF","[""TO"",""TOP"",""DP"",""LSE""]","IOU","11","[""duplicate_label"",""nearby_label_collision""]","[""NCR08013""]","[""NCR08013""]"
"435","NCR-SEED-040","geocoded","retired_seed",,"Niagara Mohawk Power Corporation",,"NiMo","Niagara Mohawk","Niagara Mohawk Power Corporation","major",,,,"NiMo","common_market_name","[]",,"NPCC","[""TO"",""TOP"",""DP"",""LSE""]","IOU","11","[""duplicate_label"",""nearby_label_collision""]","[""NCR07163""]","[""NCR07163""]"
"436","NCR-SEED-032","geocoded","retired_seed",,"Public Service Electric and Gas Company",,"PSE&G","PSE&G","Public Service Electric and Gas Company","major",,,,"PSE&G","common_market_name","[]",,"RF","[""TO"",""TOP"",""DP"",""LSE""]","IOU","11","[""duplicate_label"",""nearby_label_collision""]","[""NCR00896""]","[""NCR00896""]"
"437","NCR-SEED-058","geocoded","retired_seed",,"Calpine Corporation",,"Calpine","Calpine","Calpine Corporation","major",,,,"Calpine","common_market_name","[]",,"Texas RE","[""GO"",""GOP"",""PSE""]","merchant","5","[""duplicate_label"",""nearby_label_collision""]","[""NCR00006""]","[""NCR00006""]"
"438","NCR-SEED-057","geocoded","retired_seed",,"Luminant Generation Company LLC",,"Luminant","Luminant Generation","Luminant Generation Company LLC","normal",,,,"Luminant","common_market_name","[]",,"Texas RE","[""GO"",""GOP""]","merchant","4","[""duplicate_label"",""nearby_label_collision""]","[""NCR10133"",""NCR10219""]","[""NCR10133"",""NCR10219""]"
"439","SUP-bryan-texas-utilities","supplemental","source_only",,"Bryan Texas Utilities",,"BT","","Bryan Texas Utilities","normal",,,,"BT",,"[]",,,"[""DP""]","IOU","1","[""missing_org_names_entry"",""under_3_without_alias_evidence"",""two_letter_label_needs_alias_evidence"",""duplicate_label"",""nearby_label_collision""]","[""NCR12136"",""NCR12345"",""NCR12515"",""NCR13152"",""NCR13229"",""NCR13400"",""NCR13425"",""NCR13528""]","[""NCR13425""]"
"440","SUP-cps-energy","supplemental","source_only",,"CPS Energy",,"CPS","","CPS Energy","normal",,,,"CPS",,"[]",,,"[""DP""]","IOU","1","[""missing_org_names_entry"",""duplicate_label"",""nearby_label_collision""]","[""NCR-SEED-051"",""NCR04037""]","[""NCR-SEED-051"",""NCR04037""]"
"441","SUP-denton-municipal-electric","supplemental","source_only",,"Denton Municipal Electric",,"DME","","Denton Municipal Electric","normal",,,,"DME",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""duplicate_label"",""nearby_label_collision""]","[""NCR04049""]","[""NCR04049""]"
"442","SUP-sacramento-municipal-utility-district","supplemental","source_only",,"Sacramento Municipal Utility District",,"SMUD","","Sacramento Municipal Utility District","normal",,,,"SMUD",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""duplicate_label"",""nearby_label_collision""]","[""NCR05368""]","[""NCR05368""]"
"443","NCR07111","geocoded","published",,"Hydro-Quebec (HQ)","HQ","HQ","Hydro-Quebec","Hydro-Quebec","major",,,,"Hydro-Quebec","official_website","[]",,"NPCC","[""DP"",""GO"",""GOP"",""PC"",""RP"",""TO"",""TP"",""TSP""]","IOU","25","[""under_3_without_alias_evidence"",""two_letter_label_needs_alias_evidence""]","[]","[]"
"444","NCR01081","geocoded","published",,"City Utilities Of Springfield, MO","CU","CU","City Utilities of Springfield","City Utilities of Springfield","normal",,,,"CU","official_website","[]",,"MRO","[""DP"",""GO"",""GOP"",""RP"",""TO"",""TOP"",""TP""]","municipal","19","[""under_3_without_alias_evidence"",""two_letter_label_needs_alias_evidence"",""duplicate_label""]","[""SUP-cleveland-utilities"",""SUP-clinton-utilities-board""]","[]"
